feature,method,rmse,mae,distribution_drift,bias,absolute_bias,variance,execution_time_seconds,downstream_model_accuracy,masked_values
Emergency_Cases,Polynomial Interpolation,10.650137147010206,8.435086372689696,0.8923375146205661,-0.05157170145690496,0.05157170145690496,61.89068462085536,0.261814499999673,0.6525,192
Covid_Cases,Polynomial Interpolation,3.760920647493367,2.911784966753667,0.5793063150251568,-0.11146608543704299,0.11146608543704299,27.712982485010198,0.261814499999673,0.6525,192
ICU_Beds,Spline Interpolation,17.541046539948297,12.360946317344732,4.462425744035138,-1.7726314103503187,1.7726314103503187,250.62880898690506,0.23900270000012824,0.6425,192
General_Beds,Spline Interpolation,52.54938812730987,34.725805326951225,9.37897531572894,3.1363449780060666,3.1363449780060666,2998.1875460442457,0.23900270000012824,0.6425,192
Emergency_Beds,Spline Interpolation,33.60192205117938,21.14508016005543,10.18696580593928,-2.034544058546071,2.034544058546071,1075.6228326004596,0.23900270000012824,0.6425,192
Occupied_Beds,Spline Interpolation,46.93816132670136,29.7552766693925,7.506173058365266,0.19165921865369148,0.19165921865369148,2359.260198506277,0.23900270000012824,0.6425,192
Available_Beds,Spline Interpolation,29.317263312001835,19.285397463525097,7.423941688734471,1.1362516156659002,1.1362516156659002,1096.0718753470328,0.23900270000012824,0.6425,192
Admissions,Spline Interpolation,27.333820703065236,17.353468276147932,9.769312951540089,3.7378140041510513,3.7378140041510513,665.921215756614,0.23900270000012824,0.6425,192
Discharges,Spline Interpolation,29.518057671742174,18.54391913172668,8.326408398340368,-0.3212399168410547,0.3212399168410547,720.385370611047,0.23900270000012824,0.6425,192
Doctors,Spline Interpolation,4.316412706443364,2.7316014010937324,1.104356800727144,0.33605779429430455,0.33605779429430455,22.139675575588516,0.23900270000012824,0.6425,192
Nurses,Spline Interpolation,25.289836057323445,12.865985882105493,6.183723547953845,1.0529665778249002,1.0529665778249002,656.3724643376748,0.23900270000012824,0.6425,192
Staff_On_Duty,Spline Interpolation,67.60444889196783,21.723825253701744,10.011610945414102,5.162801095693209,5.162801095693209,4790.267629464911,0.23900270000012824,0.6425,192
Average_Length_of_Stay,Spline Interpolation,1.1787641445350872,0.9356858098199888,0.5643103870480837,0.024880181271746977,0.024880181271746977,0.22540885408074704,0.23900270000012824,0.6425,192
Emergency_Cases,Spline Interpolation,28.45059495126762,13.950378197292899,6.419693473171672,2.431201879341053,2.431201879341053,772.9739570581146,0.23900270000012824,0.6425,192
Covid_Cases,Spline Interpolation,6.23259934817297,4.30768396914298,1.5912670415738022,-0.6954715134970298,0.6954715134970298,57.47269802499027,0.23900270000012824,0.6425,192
ICU_Beds,KNN Imputer,7.4251555829353535,6.376742960693593,3.787651741629216,-0.8484172439199114,0.8484172439199114,12.649027984161208,0.1880737000001318,0.65,192
General_Beds,KNN Imputer,14.963207364452712,11.338898635793981,6.4468056983550435,-2.1057121447501386,2.1057121447501386,836.9715086529685,0.1880737000001318,0.65,192
Emergency_Beds,KNN Imputer,9.385550043597858,7.5827332188705165,4.373348930687888,-1.5881298888775204,1.5881298888775204,33.771816100982555,0.1880737000001318,0.65,192
Occupied_Beds,KNN Imputer,17.391876381062765,12.773136771415105,6.421246304339633,-2.8516984082706194,2.8516984082706194,521.7877957913734,0.1880737000001318,0.65,192
Available_Beds,KNN Imputer,13.950296003945821,10.81931496530457,4.964070431991338,-0.19227228549464356,0.19227228549464356,239.56827614240254,0.1880737000001318,0.65,192
Admissions,KNN Imputer,6.621629943649383,5.296246892681648,1.6249833231349227,0.8480164022970471,0.8480164022970471,42.856775359303334,0.1880737000001318,0.65,192
Discharges,KNN Imputer,8.779650950285456,7.123101266954087,2.874313826607953,-0.1377008037063812,0.1377008037063812,41.38903186070613,0.1880737000001318,0.65,192
Doctors,KNN Imputer,1.2638983050085395,1.0380019246843923,0.4594084478931633,-0.39401724848626724,0.39401724848626724,5.898704599521679,0.1880737000001318,0.65,192
Nurses,KNN Imputer,4.672793646962547,3.6296608214883026,0.9464750044757171,0.8043768831685445,0.8043768831685445,82.22727018645531,0.1880737000001318,0.65,192
Staff_On_Duty,KNN Imputer,6.6976242991717285,5.050506407026099,1.971924484716645,-0.41241401756928936,0.41241401756928936,224.37804978757114,0.1880737000001318,0.65,192
Average_Length_of_Stay,KNN Imputer,1.227119431651485,0.9925446265370046,0.4775996011736723,-0.04573530541674697,0.04573530541674697,0.2787848803791533,0.1880737000001318,0.65,192
Emergency_Cases,KNN Imputer,7.4088152675304,5.832790603740402,3.238314972576329,-0.05533740623485076,0.05533740623485076,10.406473748603839,0.1880737000001318,0.65,192
Covid_Cases,KNN Imputer,5.694155715917056,4.562814072484304,2.5884610400342876,-0.07755918740631529,0.07755918740631529,5.79719707782218,0.1880737000001318,0.65,192
ICU_Beds,Iterative Imputer (MICE),5.776970963275022,3.02657000487832,1.003716864925033,0.1752285763694316,0.1752285763694316,52.58769539530803,0.34527890000026673,0.6475,192
General_Beds,Iterative Imputer (MICE),9.892730944528445,5.004813602736609,3.273483059894222,-0.8262589402616096,0.8262589402616096,1103.027874665482,0.34527890000026673,0.6475,192
